instance,n,cost,gap_abs,gap_rel_percent,tour_found,success
bcl380,380,1635.0,14.0,0.863664404688464,True,False
dkg813,813,3223.0,24.0,0.7502344482650828,True,False
gr666,666,295123.0,631.0,0.21426728060524566,True,True
lim963,963,2828.0,39.0,1.3983506633201863,True,False
pa561,561,2763.0,0.0,0.0,True,True
pbk411,411,1353.0,10.0,0.7446016381236039,True,False
pbl395,395,1295.0,14.0,1.092896174863388,True,False
pbm436,436,1462.0,19.0,1.3167013167013166,True,False
pbn423,423,1376.0,11.0,0.805860805860806,True,False
pcb442,442,50778.0,0.0,0.0,True,True
pka379,379,1557.0,225.0,16.89189189189189,True,False
rbu737,737,3326.0,12.0,0.3621001810500905,True,True
rbx711,711,3135.0,18.0,0.5774783445620789,True,True
xql662,662,2534.0,21.0,0.8356545961002786,True,False
