instance,n,cost,gap_abs,gap_rel_percent,tour_found,success
bcl380,380,1626.0,5.0,0.30845157310302285,True,True
dkg813,813,3214.0,15.0,0.4688965301656768,True,True
gr666,666,294895.0,403.0,0.1368458226369477,True,True
lim963,963,2815.0,26.0,0.9322337755467911,True,False
pa561,561,2763.0,0.0,0.0,True,True
pbk411,411,1355.0,12.0,0.8935219657483247,True,False
pbl395,395,1292.0,11.0,0.858704137392662,True,False
pbm436,436,1462.0,19.0,1.3167013167013166,True,False
pbn423,423,1375.0,10.0,0.7326007326007326,True,False
pcb442,442,50778.0,0.0,0.0,True,True
pka379,379,1555.0,184.0,13.420860685630926,True,False
rbu737,737,3327.0,13.0,0.3922751961375981,True,True
rbx711,711,3127.0,10.0,0.3208213025344883,True,True
xql662,662,2518.0,3.0,0.11928429423459246,True,True
