instance,n,cost,gap_abs,gap_rel_percent,tour_found,success
bcl380,380,1625.0,4.0,0.24676125848241826,True,True
dkg813,813,3224.0,25.0,0.7814942169427945,True,False
gr666,666,294358.0,0.0,0.0,True,True
lim963,963,2822.0,33.0,1.1832197920401577,True,False
pa561,561,2763.0,0.0,0.0,True,True
pbk411,411,1354.0,11.0,0.8190618019359642,True,False
pbl395,395,1292.0,11.0,0.858704137392662,True,False
pbm436,436,1461.0,18.0,1.2474012474012475,True,False
pbn423,423,1374.0,9.0,0.6593406593406593,True,True
pcb442,442,50778.0,0.0,0.0,True,True
pka379,379,1550.0,218.0,16.366366366366368,True,False
rbu737,737,3328.0,14.0,0.4224502112251056,True,True
rbx711,711,3132.0,17.0,0.5457463884430177,True,True
xql662,662,2519.0,6.0,0.23875845602865103,True,True
